country,year,population,population_growth_rate,fertility_rate,median_age,urban_population,population_density,continent,income_group
China,1995,60919309297202995200,2.03,5.11,30.7,40.4,1943742505191588.2,Asia,Upper middle income
Colombia,1995,959048217906325888,1.79,5.14,30.9,45.9,112322575762.14,South America,Upper middle income
Croatia,1995,874795495722168320,1.65,4.35,31.7,43.9,413560543068.07,Europe,High income
Czech Republic,1995,840287290569278080,1.8,4.31,30.5,45.3,165898488467.27,Europe,High income
Denmark,1995,1401075952564946688,1.47,4.93,32.3,41.0,414794231506.95,Europe,High income
Egypt,1995,2327656478563807232,2.0,4.38,30.1,37.6,468619906914.74,Africa,Lower middle income
Ethiopia,1995,1864301185421577984,2.02,4.61,30.8,44.9,579924907906.6,Africa,Lower middle income
Finland,1995,1302039701050484992,1.9,4.53,29.2,41.0,364853899998.44,Europe,High income
France,1995,5227538531982829568,2.03,4.7,31.9,38.0,556447399499.44,Europe,High income
Germany,1995,2078033939618321408,1.94,4.59,30.4,41.9,263113358188.24,Europe,High income
Ghana,1995,1366643284249984000,1.5,5.1,32.2,41.9,731482688379.53,Africa,Lower middle income
Greece,1995,1699701278187421952,1.78,5.02,31.8,36.9,279988674073.69,Europe,High income
Hungary,1995,1939271329120004864,2.02,4.5,29.3,45.0,1303267634994.34,Europe,High income
India,1995,59626974463158820864,1.63,4.77,31.0,40.2,6115791086127.81,Asia,Lower middle income
Indonesia,1995,13169744508248092672,1.68,4.63,31.0,40.1,13559399930341.83,Asia,Lower middle income
Iran,1995,5394818397287548928,1.7,4.54,30.3,38.2,5378057010347.78,Asia,Upper middle income
Iraq,1995,2308714330417531904,1.55,4.4,30.2,42.2,367089003735.13,Asia,Upper middle income
Ireland,1995,175887365967226304,2.0,5.02,32.4,39.6,26455879857.9,Europe,High income
Israel,1995,2379633978511133184,1.94,4.36,29.8,40.9,400226232530.24,Asia,High income
Italy,1995,2197483721104437504,1.51,4.62,32.2,44.7,371935139120.35,Europe,High income
Japan,1995,6276776333303652352,1.52,4.4,29.5,40.9,858206587289.07,Asia,High income
Jordan,1995,4009099525834241024,1.53,4.64,29.2,43.5,2406650377108.45,Asia,Upper middle income
Kenya,1995,4102974265700646912,1.87,4.43,28.8,41.6,7556505673249.35,Africa,Lower middle income
Malaysia,1995,3530297715450366464,1.9,4.53,30.5,45.3,749275103678.45,Asia,Upper middle income
Mexico,1995,3632278751910110720,1.54,4.91,31.1,44.7,3925346381870.92,North America,Upper middle income
Morocco,1995,395577442112488768,1.53,5.13,30.2,45.1,134331950668.82,Africa,Lower middle income
Myanmar,1995,2650878003592234496,1.63,4.8,31.9,39.9,289771340790.15,Asia,Lower middle income
Netherlands,1995,1759048008499394048,1.87,4.94,29.6,36.3,481534100198.78,Europe,High income
New Zealand,1995,464478416606444736,1.99,5.15,31.4,43.3,192754763433.21,Oceania,High income
Nigeria,1995,34667952066361131008,1.93,4.76,31.2,43.8,8466060349550.92,Africa,Lower middle income
Norway,1995,135708805830041840,1.93,4.65,31.8,40.4,62511337940.99,Europe,High income
Pakistan,1995,62819204231609958400,1.9,4.77,30.1,40.9,11428246994697.15,Asia,Lower middle income
Peru,1995,1033729517049160832,1.68,4.49,30.1,41.0,596014936201.6,South America,Upper middle income
Philippines,1995,5781641293684168704,1.68,4.49,32.5,36.7,899185006052.68,Asia,Lower middle income
Poland,1995,1223905829322135296,1.95,5.11,30.1,44.2,489592767938.67,Europe,High income
Portugal,1995,2022525851922352896,1.64,4.54,30.1,39.7,491855406565.12,Europe,High income
Romania,1995,2465101461485383168,1.6,4.22,30.5,40.5,4097644814526.21,Europe,Upper middle income
Russia,1995,12342575168695660544,1.76,4.43,32.0,37.7,61039549834809.73,Europe,Upper middle income
Saudi Arabia,1995,4082537570776983552,2.04,4.83,29.9,36.2,841760419505.5,Asia,High income
Singapore,1995,3066006498854216704,1.84,4.78,29.6,36.7,406070074435.11,Asia,High income
South Africa,1995,4100017757935834624,1.96,4.46,31.1,37.2,1404689443224.04,Africa,Upper middle income
South Korea,1995,3977794558230687232,1.95,4.52,31.7,42.8,1140619273062.42,Asia,High income
Spain,1995,2814353270082880512,1.76,4.85,30.5,40.5,331884052976.69,Europe,High income
Sri Lanka,1995,3730661604161165824,1.47,5.08,31.8,39.7,2010785022699.8,Asia,Lower middle income
Sweden,1995,397331354159140416,1.5,4.62,28.8,42.0,1455124362215.64,Europe,High income
Switzerland,1995,866787016823646592,1.85,4.69,29.2,37.0,276609713569.45,Europe,High income
Taiwan,1995,193324577990790944,1.84,4.2,31.3,43.1,43483461192.48,Asia,High income
Tanzania,1995,1334645487430843136,1.96,4.98,32.4,39.7,147175098067.92,Africa,Low income
Thailand,1995,3449374351308875264,1.7,4.67,30.3,42.3,2025578590038.42,Asia,Upper middle income
Turkey,1995,3231061108609330176,1.78,5.1,28.5,42.3,783256019328.03,Asia,Upper middle income
Ukraine,1995,3542290677769926656,1.9,4.43,29.3,43.0,679362894601.92,Europe,Lower middle income
United Kingdom,1995,3354246247347182592,1.74,4.66,31.3,36.0,571615057962.84,Europe,High income
United States,1995,20063430644204474368,1.9,5.09,30.3,39.4,19591252948067.79,North America,High income
Uzbekistan,1995,2221209914593042176,1.49,5.0,31.7,40.2,855248101778.78,Asia,Lower middle income
Venezuela,1995,546323043014827648,1.96,5.08,29.6,42.2,211157457463.51,South America,Upper middle income
Vietnam,1995,6533276384836217856,1.46,4.78,29.1,36.1,6225685247487.13,Asia,Lower middle income
Yemen,1995,305060472099061568,1.85,4.4,32.1,38.9,92081727809.41,Asia,Lower middle income
Zimbabwe,1995,3914751354216367104,1.6,4.27,29.7,44.6,568627924822.97,Africa,Lower middle income
Angola,1995,3633257957264036864,1.51,4.66,29.4,43.2,374469714500.9,Africa,Lower middle income
Azerbaijan,1995,922253545118587904,1.47,4.52,28.6,36.4,1158502970647.37,Asia,Upper middle income
Belarus,1995,24242175610120392,1.63,4.6,30.1,43.7,17133599021.06,Europe,Upper middle income
Belize,1995,3184804515056737792,1.83,4.77,29.1,44.5,967653603127.72,North America,Upper middle income
Benin,1995,2915217638674760704,1.7,4.52,30.7,39.9,1123359915181.87,Africa,Lower middle income
Bhutan,1995,3455982101565880320,1.64,4.9,29.9,40.4,1464275544650.52,Asia,Lower middle income
Bolivia,1995,3515011134189313024,1.89,4.22,28.7,45.2,395461408532.04,South America,Lower middle income
Botswana,1995,318518322569434240,1.75,5.01,29.1,42.5,66910638393.74,Africa,Upper middle income
Brunei,1995,1631096265513562624,1.47,4.79,30.7,44.4,240976791057.66,Asia,High income
Burkina Faso,1995,547833043722995008,1.98,4.61,29.0,42.3,62698434796.88,Africa,Low income
Burundi,1995,3298919841393436672,1.78,4.31,28.6,42.8,483796700012.5,Africa,Low income
Cambodia,1995,2731577284412881408,1.97,4.28,28.9,44.6,542704957790.09,Asia,Lower middle income
Cameroon,1995,1332861519007938048,1.89,5.09,31.3,43.9,471694192906.82,Africa,Lower middle income
Cape Verde,1995,258694297806297440,1.97,4.81,29.4,41.2,37716483210.17,Africa,Lower middle income
Central African Republic,1995,1235136708117521664,1.84,4.24,29.7,42.7,826542573169.77,Africa,Low income
Chad,1995,1292674821176944384,1.98,4.87,30.5,38.1,378555639294.6,Africa,Low income
Comoros,1995,3175342313229041664,1.54,4.68,30.1,40.8,3005522330940.63,Africa,Lower middle income
Congo,1995,2457438549769521664,2.03,5.18,30.2,43.9,374709011254.53,Africa,Lower middle income
Costa Rica,1995,3428252854548510208,1.63,4.51,30.9,41.8,371217345654.16,North America,Upper middle income
Cuba,1995,2174095339590859776,1.96,5.09,31.7,39.3,1010777107624.57,North America,Upper middle income
Cyprus,1995,521961897808778112,1.86,4.59,31.9,45.6,91662512305.78,Asia,High income
Djibouti,1995,3010795778089442816,1.96,4.22,29.0,44.5,411279781403.57,Africa,Lower middle income
Dominican Republic,1995,3177786068210321408,1.98,4.55,31.0,42.3,1723185540859.69,North America,Upper middle income
Ecuador,1995,2266370277960531200,2.0,4.38,29.2,40.8,2455754411343.02,South America,Upper middle income
El Salvador,1995,3645464037102918144,1.51,4.82,29.9,44.0,618030538401.54,North America,Upper middle income
Equatorial Guinea,1995,2048451715864065024,2.04,4.27,30.8,45.9,296454484617.65,Africa,Upper middle income
Eritrea,1995,2375313227455280128,1.47,4.22,28.6,45.9,242497227341.03,Africa,Low income
Estonia,1995,1749266102852569344,1.62,4.35,29.8,39.7,233762852968.06,Europe,High income
Fiji,1995,121583883950053712,1.9,4.85,31.6,43.4,25553455765.74,Oceania,Upper middle income
Gabon,1995,443116212615868416,1.62,4.88,32.3,41.8,48558805010.8,Africa,Upper middle income
Gambia,1995,120055617282293696,1.93,5.05,31.0,45.3,20349996264.18,Africa,Low income
Georgia,1995,2540051581668045824,1.58,4.76,32.1,36.7,420239113581.79,Asia,Upper middle income
Guatemala,1995,1440509271617602048,1.52,4.32,30.0,38.7,726083900649.22,North America,Upper middle income
Guinea,1995,2008247950633957632,1.53,4.81,31.3,43.0,377206077481.95,Africa,Low income
Guinea-Bissau,1995,4356120433879918592,1.98,5.16,30.1,44.8,570996133393.44,Africa,Low income
Guyana,1995,1022271056459446272,1.51,4.88,29.0,38.9,204284842820.07,South America,Upper middle income
Haiti,1995,1836563624906527744,2.01,4.79,31.2,39.1,267204975586.8,North America,Lower middle income
Honduras,1995,3173729658615973888,1.96,4.59,30.4,40.3,391266972520.77,North America,Lower middle income
Iceland,1995,1100201480070557824,1.65,4.68,31.3,45.0,222825017454.37,Europe,High income
Jamaica,1995,298596038881434176,1.67,4.75,30.2,37.9,805149323778.02,North America,Upper middle income
Kazakhstan,1995,1299898223010634752,2.05,5.12,31.2,44.4,508165687035.97,Asia,Upper middle income
Kuwait,1995,712178768364069760,1.49,4.91,32.4,44.6,133245185476.57,Asia,High income
Kyrgyzstan,1995,4276698703506293248,2.02,4.42,31.7,38.7,487673329900.05,Asia,Lower middle income
Laos,1995,3107758277578015232,1.56,4.92,29.2,37.6,559441024110.1,Asia,Lower middle income
Latvia,1995,2949553349195775488,1.61,5.04,31.7,41.8,456164866708.05,Europe,High income
Lebanon,1995,3301051985491140608,1.67,4.46,29.1,39.9,929955776485.43,Asia,Upper middle income
Lesotho,1995,3640416970301293568,1.81,5.11,29.1,36.6,680891706738.15,Africa,Lower middle income
Liberia,1995,700975632654333952,1.92,4.71,30.5,39.6,186908723288.62,Africa,Low income
Libya,1995,3742384640101017600,1.46,4.28,30.5,37.5,480541603592.58,Africa,Upper middle income
Lithuania,1995,2172018566709238272,1.51,4.44,29.9,36.4,1532165475288.38,Europe,High income
Luxembourg,1995,3292657396274171392,1.64,5.0,31.9,37.9,2654780321910.65,Europe,High income
Madagascar,1995,3960373594697468928,1.93,5.16,28.5,40.1,539549824114.78,Africa,Low income
Malawi,1995,1479533152835852288,1.49,4.88,29.7,36.7,302467964373.94,Africa,Low income
Maldives,1995,431545840655057728,1.89,4.94,31.9,39.8,3218457895029.04,Asia,Upper middle income
Mali,1995,915577185712983552,1.73,4.89,30.0,41.4,174624775066.28,Africa,Low income
Malta,1995,1672156758470418944,1.82,4.64,31.7,42.9,1498911928964.11,Europe,High income
Mauritania,1995,3481691936526090240,1.87,4.29,31.7,38.2,692000255702.33,Africa,Lower middle income
Mauritius,1995,4118273148146100224,1.79,4.62,28.5,37.3,711634753225.81,Africa,Upper middle income
Moldova,1995,31741665117988384,1.67,5.12,29.8,41.4,5580887952.41,Europe,Upper middle income
Mongolia,1995,2196629531816088320,1.74,4.54,32.1,40.5,415637855057.86,Asia,Lower middle income
Montenegro,1995,1856682148385472768,1.49,4.98,30.6,42.6,240492008128.7,Europe,Upper middle income
Mozambique,1995,1046332122749486592,1.69,5.01,29.5,42.6,1017862211838.98,Africa,Low income
Namibia,1995,453262459016277568,1.51,4.52,28.6,42.3,143159827671.05,Africa,Upper middle income
Nepal,1995,1533588820174058496,1.48,4.42,30.1,39.8,1169914267023.17,Asia,Lower middle income
Nicaragua,1995,4574172123357602816,1.62,4.92,29.4,44.8,1179458928337.25,North America,Lower middle income
Niger,1995,1532100926131072512,1.66,4.21,30.6,41.2,1277579075580.05,Africa,Low income
North Korea,1995,2067975720840690176,1.92,4.24,30.5,41.3,300253527360.74,Asia,Lower middle income
Oman,1995,2661299941654193664,1.8,4.2,29.6,41.0,292036490079.51,Asia,High income
Panama,1995,1409774485836283648,1.55,4.87,30.0,42.2,141337233575.92,North America,High income
Papua New Guinea,1995,4705315123353849856,1.66,4.7,32.1,36.9,1040173517068.8,Oceania,Lower middle income
Paraguay,1995,3979525988110284288,1.63,5.19,31.4,39.9,480016746935.43,South America,Upper middle income
Qatar,1995,1073379235443657216,1.97,4.47,29.4,38.5,199317727329.08,Asia,High income
Rwanda,1995,2011435195532755968,1.54,5.19,32.1,42.4,225610095188.96,Africa,Low income
Senegal,1995,1439246713154166528,1.86,4.72,32.0,41.7,1134266651986.54,Africa,Lower middle income
Serbia,1995,1175934664389002496,1.72,5.14,31.1,44.8,155215142621.89,Europe,Upper middle income
Sierra Leone,1995,151814043294708640,1.88,4.4,30.1,44.1,24807514606.2,Africa,Low income
Slovakia,1995,2831602263125987840,1.6,4.95,29.3,41.5,653057994582.21,Europe,High income
Slovenia,1995,2178291989602701056,1.53,4.56,31.2,41.6,396763756434.87,Europe,High income
Somalia,1995,222371353976923328,2.02,5.13,29.9,39.5,40071028431.68,Africa,Low income
Sudan,1995,1072072894812531712,1.63,4.43,29.4,42.4,278886500843.2,Africa,Lower middle income
Suriname,1995,3559439543288818688,1.98,5.07,31.9,39.9,6236233168400.13,South America,Upper middle income
Syria,1995,924642931969491456,1.62,4.42,32.0,45.9,113218072133.6,Asia,Lower middle income
Tajikistan,1995,658354074070586112,1.8,4.97,32.3,42.0,425574344117.62,Asia,Lower middle income
Togo,1995,1915396004313650432,1.8,4.53,32.1,42.1,283122738373.18,Africa,Low income
Trinidad and Tobago,1995,3699844916404202496,1.75,4.63,31.3,39.8,378858348908.41,North America,High income
Tunisia,1995,1081457495761647616,1.85,5.12,32.5,38.0,133422331425.3,Africa,Lower middle income
Turkmenistan,1995,2628513927089572352,1.72,4.3,31.0,40.7,418063161517.54,Asia,Upper middle income
Uganda,1995,3404823702915483648,1.82,4.49,31.8,41.5,695000713535.1,Africa,Low income
United Arab Emirates,1995,1152514029094268160,1.62,4.73,31.2,37.3,325289314447.46,Asia,High income
Uruguay,1995,3361614543795274240,1.59,4.69,31.0,42.7,461546196847.24,South America,High income
Zambia,1995,1727420385371590912,1.69,4.91,31.4,39.0,178422818678.06,Africa,Lower middle income
Afghanistan,1996,3548811696289307136,1.57,4.8,31.7,40.9,410857690234.25,Asia,Low income
Albania,1996,8591036309737659392,1.79,4.34,30.4,40.9,1170939072981.6,Europe,Upper middle income
Algeria,1996,6490166580407329792,1.45,4.43,30.7,44.0,872809602032.08,Africa,Lower middle income
Argentina,1996,5130773947150502912,1.47,4.41,29.8,44.4,2849348557788.6,South America,Upper middle income
Australia,1996,1331183479034437632,1.8,5.08,32.8,46.1,185331771258.81,Oceania,High income
Austria,1996,1434731740658260480,1.86,4.98,32.6,41.1,344416161306.02,Europe,High income
Bangladesh,1996,13078852611487918080,1.8,4.9,32.3,41.2,3598664473061.58,Asia,Lower middle income
Belgium,1996,8462709725511223296,1.54,4.34,31.7,38.4,2118489414413.09,Europe,High income
Brazil,1996,74890331128648695808,1.5,4.7,30.3,41.2,38220386115740.25,South America,Upper middle income
Bulgaria,1996,6533316502512630784,1.59,4.46,29.8,40.9,1409165218761.11,Europe,Upper middle income
Canada,1996,182449641225593824,1.98,5.02,31.2,37.0,29797469374.5,North America,High income
Chile,1996,7465632210306466816,1.83,4.51,32.2,46.0,1789595781107.76,South America,High income
China,1996,122491267667487997952,1.75,4.32,32.5,40.9,73390405073925.81,Asia,Upper middle income
Colombia,1996,1959779575386366464,1.53,4.26,31.1,43.3,344058931473.49,South America,Upper middle income
Croatia,1996,1631966234585645056,1.47,4.6,30.2,46.3,3282381304280.22,Europe,High income
Czech Republic,1996,1496017925365672448,1.97,5.1,32.1,37.4,266480383991.45,Europe,High income
Denmark,1996,2547363748920409600,1.88,4.18,29.6,41.5,1614995938227.2,Europe,High income
Egypt,1996,4747077498598430720,1.89,4.82,30.6,45.4,3445594886776.81,Africa,Lower middle income
Ethiopia,1996,3482323406029718016,1.69,4.18,29.2,40.6,368932435602.87,Africa,Lower middle income
Finland,1996,2792393473753888256,1.68,4.26,29.5,40.4,1328741907153.45,Europe,High income
France,1996,9998609950337454080,1.8,4.7,30.0,44.4,1288528331252.92,Europe,High income
Germany,1996,3865213906033546240,1.46,5.04,31.5,39.1,633129410228.47,Europe,High income
Ghana,1996,2449441110638647296,1.78,4.59,30.7,44.0,399084928425.07,Africa,Lower middle income
Greece,1996,2815040650165104640,1.44,4.43,30.5,39.4,432089562348.08,Europe,High income
Hungary,1996,3613022725174164992,1.82,4.89,29.3,43.1,375792910152.42,Europe,High income
India,1996,110441004628743307264,1.95,4.73,31.2,37.1,14758418930024.89,Asia,Lower middle income
Indonesia,1996,28994146033609146368,1.83,4.93,30.9,39.2,20467659886641.35,Asia,Lower middle income
Iran,1996,8829841851466209280,1.92,4.24,30.3,39.9,1020237653251.68,Asia,Upper middle income
Iraq,1996,5059923542092568576,2.0,4.86,32.2,37.6,1998572003191.58,Asia,Upper middle income
Ireland,1996,365656622865592192,1.68,4.84,29.5,37.9,59490480160.03,Europe,High income
Israel,1996,4857216688697516032,1.69,4.17,31.5,42.0,750197775511.64,Asia,High income
Italy,1996,4100755342030895104,1.57,4.92,31.7,42.4,652798723963.66,Europe,High income
Japan,1996,11121877317644724224,1.91,4.89,31.2,45.8,6591873224579.93,Asia,High income
Jordan,1996,8566361855308841984,1.98,4.43,28.9,43.9,121000196093034.53,Asia,Upper middle income
Kenya,1996,9159819048663926784,1.43,4.77,30.3,38.6,1019719415066.92,Africa,Lower middle income
Malaysia,1996,7415524390643283968,1.6,4.4,31.7,45.0,1035862993809.61,Asia,Upper middle income
Mexico,1996,6671870224971667456,1.54,4.97,31.8,41.8,1304025196683.34,North America,Upper middle income
Morocco,1996,858500593986183936,1.9,4.86,32.2,41.7,137429008734.54,Africa,Lower middle income
Myanmar,1996,6460940399693093888,1.54,4.56,31.3,45.8,40547050855675.33,Asia,Lower middle income
Netherlands,1996,3503386656015042560,1.54,4.45,29.9,42.5,395580538411.2,Europe,High income
New Zealand,1996,1091128105211297152,1.54,4.98,31.3,38.8,301641275977.05,Oceania,High income
Nigeria,1996,79334271630130298880,1.84,4.7,29.4,44.6,25790388489091.7,Africa,Lower middle income
Norway,1996,322007817660278400,1.79,4.38,29.6,37.9,133048963245.9,Europe,High income
Pakistan,1996,126380680807130841088,1.77,4.72,31.1,43.0,15510580127592.36,Asia,Lower middle income
Peru,1996,2485189940263550464,1.54,4.71,29.1,37.8,379781348232.77,South America,Upper middle income
Philippines,1996,11918088902380500992,1.85,4.55,29.3,45.3,14362572571304.07,Asia,Lower middle income
Poland,1996,2466596888497518080,1.57,5.12,30.5,41.6,320453877947.06,Europe,High income
Portugal,1996,4634638195396687872,1.9,4.61,32.7,44.6,1154545752891.74,Europe,High income
Romania,1996,4551200456083869696,1.96,4.8,31.3,44.2,811442511109.74,Europe,Upper middle income
Russia,1996,24939366678999359488,1.59,4.68,28.9,41.0,3299611791263.84,Europe,Upper middle income
Saudi Arabia,1996,7613534937318668288,1.44,4.96,31.3,38.4,944227336866.96,Asia,High income
Singapore,1996,6945573874076346368,1.6,4.5,29.4,45.0,1364403380322.21,Asia,High income
South Africa,1996,8193528531928975360,1.93,4.14,29.1,38.2,27189581485322.66,Africa,Upper middle income
South Korea,1996,8017461391631465472,1.78,4.33,29.4,38.1,841069424008.95,Asia,High income
Spain,1996,5409259769630510080,1.75,4.44,30.5,37.5,541927419345.81,Europe,High income
Sri Lanka,1996,8475749709362971648,1.77,4.71,30.8,39.2,3742585498246.46,Asia,Lower middle income
Sweden,1996,774160213814169216,1.44,4.19,31.0,45.8,84674263337.5,Europe,High income
Switzerland,1996,1480025384368735744,1.46,4.7,32.2,46.1,171976757474.11,Europe,High income
Taiwan,1996,411608937130472832,1.52,4.19,29.0,42.7,1134378132918.3,Asia,High income
Tanzania,1996,2981464969897631232,1.83,4.2,32.4,41.8,329644663136.98,Africa,Low income
Thailand,1996,8599757348353598464,1.52,4.5,29.3,44.3,1705710482460.42,Asia,Upper middle income
Turkey,1996,6628701324565642240,1.52,4.81,32.8,43.3,9625359008689.24,Asia,Upper middle income
Ukraine,1996,7288869066255334400,1.51,4.15,30.1,39.3,924054613319.66,Europe,Lower middle income
United Kingdom,1996,6993598719898509312,1.84,4.14,28.9,36.9,3187071672505.43,Europe,High income
United States,1996,37983700845032546304,1.76,5.11,30.2,37.2,19480751873332.92,North America,High income
Uzbekistan,1996,5184810581482134528,1.82,4.91,29.3,37.9,4615498820218.74,Asia,Lower middle income
Venezuela,1996,1335362239494264064,1.53,4.76,30.9,42.0,682994488441.6,South America,Upper middle income
Vietnam,1996,14638944305307875328,1.43,5.11,28.9,37.1,4508244561313.59,Asia,Lower middle income
Yemen,1996,703846015131987072,1.55,4.59,28.9,37.4,115763147257.52,Asia,Lower middle income
Zimbabwe,1996,7812023366723552256,1.82,4.91,32.2,37.9,1714806381989.78,Africa,Lower middle income
Angola,1996,7473080814442739712,1.86,4.24,30.8,45.8,1698061596399.19,Africa,Lower middle income
Azerbaijan,1996,1871179525430698496,1.7,4.23,29.4,37.1,957638385319.18,Asia,Upper middle income
Belarus,1996,57418735896803032,1.79,4.86,31.3,40.5,26467632684.98,Europe,Upper middle income
Belize,1996,7846093102330829824,1.71,4.6,32.8,40.4,918595780462.32,North America,Upper middle income
Benin,1996,6688237071656617984,1.54,4.21,32.7,40.9,288273657820469.44,Africa,Lower middle income
Bhutan,1996,6261131820530893824,1.77,4.9,32.6,45.8,665977385264.98,Asia,Lower middle income
Bolivia,1996,5846676110997551104,1.83,4.35,29.6,44.6,1401448853870.88,South America,Lower middle income
Botswana,1996,715089174166175360,1.43,4.92,29.3,38.4,149787015524.57,Africa,Upper middle income
Brunei,1996,2996991460301027840,1.69,5.06,31.4,39.5,1732450913021.68,Asia,High income
Burkina Faso,1996,977927931235273472,1.67,4.72,29.9,44.3,992312498625.1,Africa,Low income
Burundi,1996,7534523608658644992,1.77,4.33,32.1,42.8,1166772657981.53,Africa,Low income
Cambodia,1996,5352044207626659840,1.95,4.81,30.3,39.0,7521715483233.4,Asia,Lower middle income
Cameroon,1996,2601703297770539008,2.0,4.53,32.4,38.3,611563508709.35,Africa,Lower middle income
Cape Verde,1996,621717228414924032,1.45,4.71,32.5,46.1,73487046956.33,Africa,Lower middle income
Central African Republic,1996,2940123356397097472,1.79,4.34,31.7,46.4,558979087874.72,Africa,Low income
Chad,1996,2622862096228794368,1.74,4.81,29.6,43.8,446464282695.53,Africa,Low income
Comoros,1996,6458593002895779840,1.58,4.28,31.3,42.5,1910383290057.1,Africa,Lower middle income
Congo,1996,5187106671587823616,1.61,4.61,32.7,44.2,608990768417.09,Africa,Lower middle income
Costa Rica,1996,7632454926581445632,1.72,4.32,31.7,40.8,1027977972696.82,North America,Upper middle income
Cuba,1996,3960895617749150208,1.47,4.29,32.0,39.2,1497910890907.16,North America,Upper middle income
Cyprus,1996,1155953641782350336,1.79,4.23,29.4,39.3,194593102245.06,Asia,High income
Djibouti,1996,6554695572697217024,1.56,4.99,29.2,38.7,675416028073.68,Africa,Lower middle income
Dominican Republic,1996,5927856222019101696,1.93,4.82,29.1,41.4,1142108411129.52,North America,Upper middle income
Ecuador,1996,5411302160782060544,1.65,4.57,29.2,43.0,2564891305099.25,South America,Upper middle income
El Salvador,1996,5915863715380797440,2.0,4.39,29.4,43.6,719954217340.85,North America,Upper middle income
Equatorial Guinea,1996,3776792836043069952,1.46,4.21,29.0,43.2,641924850558.26,Africa,Upper middle income
Eritrea,1996,4691248108600604672,1.7,4.94,31.0,45.8,965873671207.24,Africa,Low income
Estonia,1996,3970733437785931776,1.64,4.56,32.2,37.7,702832865963.43,Europe,High income
Fiji,1996,236357625475507968,1.85,4.71,30.6,39.2,25989493410.34,Oceania,Upper middle income
Gabon,1996,898742671503599872,1.88,4.15,29.7,40.1,133819748368.14,Africa,Upper middle income
Gambia,1996,261201976527629696,1.42,4.29,29.8,38.4,128163203854.86,Africa,Low income
Georgia,1996,5874268690253813760,1.65,4.53,32.7,41.1,633231432475.4,Asia,Upper middle income
Guatemala,1996,2561800818519996928,1.64,4.52,31.0,42.4,1032150920026.98,North America,Upper middle income
Guinea,1996,4726086993055033344,1.7,4.13,31.2,44.6,1886347526241.66,Africa,Low income
Guinea-Bissau,1996,6889802267791741952,1.88,5.1,29.1,46.0,1917357189478.34,Africa,Low income
Guyana,1996,2412076830620148736,1.79,5.01,31.9,36.9,3680539510639.82,South America,Upper middle income
Haiti,1996,3551718735554013184,1.48,4.58,32.6,39.5,726376588982.06,North America,Lower middle income
Honduras,1996,6293168955792763904,1.78,4.31,29.8,45.2,775636836634.27,North America,Lower middle income
Iceland,1996,2126259518410448640,1.86,4.58,31.7,40.5,2109394712952.44,Europe,High income
Jamaica,1996,646495926427624192,1.5,4.51,30.0,42.6,178785483285.77,North America,Upper middle income
Kazakhstan,1996,2632202751422123520,1.71,5.04,29.2,43.5,391446569742.5,Asia,Upper middle income
Kuwait,1996,1565455776929879040,1.62,4.43,29.5,39.3,311880694216.7,Asia,High income
Kyrgyzstan,1996,8737775633383425024,1.57,4.28,29.9,37.6,942888716351.93,Asia,Lower middle income
Laos,1996,7666648928276900864,1.59,4.37,32.4,36.6,1276461193383.52,Asia,Lower middle income
Latvia,1996,6079905911819869184,1.71,4.12,29.7,45.8,35511971598197.58,Europe,High income
Lebanon,1996,7278388492621687808,1.87,4.96,30.7,38.9,1213581032001.92,Asia,Upper middle income
Lesotho,1996,6481661956463625216,1.55,4.93,29.4,36.7,1924246625398.36,Africa,Lower middle income
Liberia,1996,1602122651496794880,1.82,4.9,31.5,42.9,240637670691.5,Africa,Low income
Libya,1996,7213018480366897152,1.63,4.74,29.1,39.6,1774515005981.72,Africa,Upper middle income
Lithuania,1996,4676048177008161792,1.69,4.84,30.7,45.6,1229308681381.66,Europe,High income
Luxembourg,1996,6983229756011774976,1.4,4.43,32.3,39.9,2757325190498.73,Europe,High income
Madagascar,1996,7787109374652014592,1.45,4.65,30.0,40.4,983983880826.48,Africa,Low income
Malawi,1996,2855026803097198592,1.67,4.7,31.9,44.1,1539901757910.36,Africa,Low income
Maldives,1996,899944614688509824,1.61,4.31,28.8,38.3,111342973144.19,Asia,Upper middle income
Mali,1996,1985277377929919744,1.6,4.73,31.8,40.1,425907986881.02,Africa,Low income
Malta,1996,3267366436443171328,1.76,4.48,30.5,40.8,516623741699.12,Europe,High income
Mauritania,1996,7164062198633067520,1.65,4.14,31.3,45.4,930911966899.83,Africa,Lower middle income
Mauritius,1996,8405653137330555904,1.48,4.34,31.0,39.0,24261311469742.89,Africa,Upper middle income
Moldova,1996,62331000212345632,1.57,4.38,32.6,39.0,48124752370.27,Europe,Upper middle income
Mongolia,1996,3970874170079462912,1.88,4.83,29.3,38.8,531314253957.93,Asia,Lower middle income
Montenegro,1996,3378154647008318976,1.99,4.66,29.6,45.2,1057181137262.51,Europe,Upper middle income
Mozambique,1996,1806273870424807936,1.6,4.89,29.5,40.4,5839935347583.44,Africa,Low income
Namibia,1996,1127317743401546496,1.6,4.37,31.1,43.6,138676010831.22,Africa,Upper middle income
Nepal,1996,2787095247304975360,1.89,4.58,29.2,45.1,508891168659.96,Asia,Lower middle income
Nicaragua,1996,8323540183045171200,1.96,4.68,28.8,45.3,2922359402179.33,North America,Lower middle income
